"Region_origin","Region_recipient","Average"
"East Africa","NW Europe",238.832613240418
"East Africa","West Africa",18.44
"East Africa","Andes",53.0253658536585
"East Africa","Southern Africa",62.1038327526132
"East Africa","Trop. S. America",46.2374912891986
"East Africa","Caribbean",7.58606271777003
"East Africa","SE Europe",1078.0656445993
"East Africa","East Africa",326.24
"East Africa","North America",204.207665505227
"East Africa","East Asia",59.6797212543554
"East Africa","Central America",23.3952613240418
"East Africa","SE Mediterranean",139.938675958188
"East Africa","Trop. Pacific Region",0.268571428571429
"East Africa","NE Europe",19.9287804878049
"East Africa","West Asia",69.1106620209059
"East Africa","IOI",5.52
"East Africa","Southeast Asia",37.2103135888502
"Southeast Asia","Australia New Zealand",9.02391405342624
"Southeast Asia","East Africa",56.685818815331
"Southeast Asia","Andes",65.1840069686411
"Southeast Asia","NE Europe",6.44
"Southeast Asia","SE Mediterranean",14.4872473867596
"Southeast Asia","SW Europe",14.0457142857143
"Southeast Asia","West Africa",125.030789779326
"Southeast Asia","Trop. Pacific Region",2.46777777777778
"Southeast Asia","Central Asia",4.48
"Central Africa","Temp. S. America",0.618397212543554
"Central Africa","Australia New Zealand",0.604599303135888
"Central Africa","West Africa",2.76
"Central Africa","Central Africa",0.768780487804878
"Central Africa","Caribbean",1.82689895470383
"Central Africa","NE Europe",1.05031358885017
"Central Africa","SE Mediterranean",1.12
"Central Africa","East Africa",9.57170731707317
"Central Africa","West Asia",2.89073170731707
"Central Africa","SW Europe",1.23707317073171
"Central Africa","Southern Africa",6.11540069686411
"Central Africa","IOI",0.339512195121951
"Central Africa","Trop. Pacific Region",0.12
"North America","SE Mediterranean",22.7414634146341
"North America","Temp. S. America",12.0480836236934
"North America","Australia New Zealand",10.2602516453736
"North America","NW Europe",45.7179829655439
"North America","South Asia",542.208083623693
"North America","NE Europe",15.6956097560976
"North America","Andes",52.0282384823848
"North America","Trop. S. America",33.6250871080139
"North America","SE Europe",423.357073170732
"North America","North America",97.8156097560976
"North America","East Asia",79.1829965156794
"North America","Central America",36.1829965156794
"North America","Caribbean",18.352516453736
"North America","East Africa",35.5454703832753
"North America","West Africa",6.97198606271777
"North America","West Asia",43.1017421602788
"North America","SW Europe",25.7154006968642
"North America","Southern Africa",79.0480836236934
"North America","Southeast Asia",71.3825551684088
"Andes","Central Asia",10.12
"East Asia","Temp. S. America",7.53128919860627
"East Asia","Australia New Zealand",18.918091366628
"East Asia","NW Europe",69.8571738288811
"East Asia","South Asia",199.470662020906
"East Asia","NE Europe",33.9843902439024
"East Asia","Andes",18.8187611304685
"East Asia","Caribbean",6.18090592334495
"East Asia","Southern Africa",14.1722648083624
"East Asia","Trop. S. America",6.9381610530391
"East Asia","North America",251.335694928378
"East Asia","East Asia",356.769337979094
"East Asia","Central America",8.34285714285714
"East Asia","East Africa",34.5995276809911
"East Asia","SE Mediterranean",33.8731707317073
"East Asia","West Africa",8.93296167247387
"East Asia","IOI",3.97756097560976
"East Asia","Southeast Asia",88.7778281068525
"East Asia","Central Africa",2.84
"East Asia","Central Asia",3.08
"East Asia","SE Europe",76.5326829268293
"East Asia","Trop. Pacific Region",2.16
"East Asia","West Asia",31.5931707317073
"East Asia","SW Europe",11.6878048780488
"IOI","Australia New Zealand",0.348571428571429
"IOI","Central Africa",0.24
"IOI","NE Europe",0.48
"IOI","Caribbean",0.32
"IOI","Southeast Asia",10.56
"IOI","Southern Africa",2.6
"IOI","East Africa",3.04
"IOI","North America",6.96
"IOI","Trop. S. America",0.410731707317073
"Trop. Pacific Region","Australia New Zealand",10.0563492063492
"Trop. Pacific Region","Trop. Pacific Region",2.48746031746032
"Trop. Pacific Region","NW Europe",11.3984126984127
"Trop. Pacific Region","Andes",8.06285714285715
"Trop. Pacific Region","Southeast Asia",5.94698412698413
"Central America","SE Europe",42.0643902439024
"Central America","NE Europe",9.1184668989547
"West Africa","Central America",8.48947735191638
"West Africa","Trop. Pacific Region",0.497142857142857
"Caribbean","Central Africa",1.20390243902439
"Caribbean","Southern Africa",8.02977158343012
"Caribbean","NE Europe",0.377560975609756
"Caribbean","SW Europe",1.19024390243902
"Caribbean","IOI",0.946341463414634
"Caribbean","Trop. Pacific Region",0.283333333333333
"Caribbean","SE Mediterranean",0.304390243902439
"NE Europe","Trop. S. America",7.11414634146341
"NE Europe","Andes",10.2351219512195
"NE Europe","SW Europe",9.63317073170731
"NE Europe","East Asia",23.9717073170732
"Central Africa","Central Asia",0.12
"SE Mediterranean","Central Africa",0.16
"SE Mediterranean","IOI",0.2
"SE Mediterranean","West Africa",0.32
"SE Mediterranean","Trop. Pacific Region",0.04
"Central America","Central Asia",0.08
"East Africa","SW Europe",175.846550522648
"East Africa","Central Asia",2.36
"Trop. Pacific Region","East Asia",15.5771428571429
"Trop. Pacific Region","SE Mediterranean",0.08
"Trop. Pacific Region","East Africa",5.93476190476191
"Trop. Pacific Region","South Asia",7.45714285714286
"Trop. Pacific Region","West Asia",0.56
"Trop. Pacific Region","SE Europe",1.12
"Trop. Pacific Region","Southern Africa",1.71428571428571
"Trop. Pacific Region","North America",7.32
"NW Europe","Central Asia",0.36
"Central Asia","Andes",0.195121951219512
"Central Asia","Caribbean",0.0731707317073171
"NW Europe","Trop. Pacific Region",0.12
"SE Europe","Central Africa",32.2243902439024
"Caribbean","Central Asia",0.04
"NE Europe","Central America",10.3824390243902
"NE Europe","Caribbean",1.91414634146341
"NE Europe","Trop. Pacific Region",0.16
"NE Europe","West Africa",0.304390243902439
"NE Europe","Southeast Asia",5.05756097560976
"NE Europe","Southern Africa",3.54926829268293
"NE Europe","IOI",0.177560975609756
"South Asia","Temp. S. America",4.47860627177701
"Southeast Asia","Temp. S. America",1.73714285714286
"Southeast Asia","Central America",14.7342779713512
"Southeast Asia","Caribbean",10.1138598528842
"Southeast Asia","Southern Africa",19.0848122338366
"Southeast Asia","Central Africa",5.95010452961672
"Southeast Asia","SE Europe",54.2243902439024
"Southeast Asia","IOI",1.8
"West Asia","Central Africa",0.457560975609756
"SW Europe","SE Mediterranean",34.08
"SW Europe","Temp. S. America",2.5580487804878
"SW Europe","Central Asia",1.84
"SW Europe","Australia New Zealand",26.6975609756098
"SW Europe","NW Europe",71.5287804878049
"SW Europe","South Asia",50.8751219512195
"SW Europe","NE Europe",17.5043902439024
"SW Europe","Central America",27.5551219512196
"SW Europe","Trop. S. America",6.53853658536586
"SW Europe","SE Europe",28.0468292682927
"SW Europe","North America",63.4887804878049
"SW Europe","Andes",9.27414634146342
"SW Europe","East Asia",18.8146341463415
"SW Europe","West Africa",0.16
"SW Europe","Caribbean",1.49463414634146
"SW Europe","East Africa",39.2370731707317
"SW Europe","Southeast Asia",1.16878048780488
"SW Europe","West Asia",24.9941463414634
"SW Europe","SW Europe",31.6136585365854
"SW Europe","Southern Africa",2.33170731707317
"SE Europe","Trop. Pacific Region",6.96
"SE Europe","West Africa",232.4
"SE Europe","IOI",12.3443902439024
"Southern Africa","Australia New Zealand",4.90439024390244
"Southern Africa","Temp. S. America",2.22341463414634
"IOI","Temp. S. America",0.16
"IOI","West Africa",0.4
"IOI","Andes",1.50926829268293
"IOI","East Asia",10.76
"IOI","SE Mediterranean",0.04
"IOI","West Asia",0.52
"IOI","SW Europe",0.48
"IOI","SE Europe",3.8
"IOI","IOI",0.36
"IOI","Central America",0.108571428571429
"IOI","Trop. Pacific Region",0.08
"IOI","Central Asia",0.36
"Southern Africa","Central America",18.2256445993031
"Southern Africa","Andes",35.3704529616725
"Southern Africa","Caribbean",4.51219512195122
"Southern Africa","Central Africa",2.77867595818815
"Southern Africa","IOI",0.504390243902439
"Central America","Trop. Pacific Region",0.391111111111111
"Southern Africa","Central Asia",0.16
"Trop. Pacific Region","Caribbean",19.8171428571429
"West Asia","Trop. Pacific Region",0.2
"Trop. Pacific Region","Central Africa",12.9771428571429
"Trop. Pacific Region","Temp. S. America",0.04
"Trop. Pacific Region","Trop. S. America",2.36
"Trop. Pacific Region","West Africa",2.15428571428572
"Trop. Pacific Region","Central America",4.57142857142857
"Trop. Pacific Region","NE Europe",17.36
"Trop. Pacific Region","SW Europe",0.04
"Trop. Pacific Region","IOI",0.44
"NE Europe","Central Africa",0.12
"NE Europe","Central Asia",1.16
"Southern Africa","Trop. Pacific Region",0.108571428571429
"North America","Central Africa",5.21951219512196
"North America","Central Asia",0.36
"North America","IOI",3.61756097560976
"North America","Trop. Pacific Region",2.6
